Целевая URL,Обязательный источник,Тип связи,Есть Content ссылка,Есть Card ссылка,Другие позиции,Статус
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/chamber-furnaces-china/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/drying-cabinets-china/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/drying-cultivation-cabinets/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/muffle-furnaces-china/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/specialized-industrial-furnaces/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/tubular-compact-furnaces/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/tubular-furnaces-china/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/vacuum-drying-chambers/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/vacuum-soldering-furnaces/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/water-baths-thermostats/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/airtac-supple-china/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/atlas-copco-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baluff-sensors/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baumer-sensors-order/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/bitzer-compressors-parts/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/brevini-motion-systems-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/caterpillar-spare-parts/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/cummins-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/curtis-instruments-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/danfoss-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/duplomatic-products-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/endresshauser-supply-russia/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/flender-siemens-equipment/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/fronius-equipment-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/honeywell-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/hydac-equipment-buy/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/kubler-equipment/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/lenze-supply-russia/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/mattei-rotors-compressors/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/megger-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/pilz-equipment/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/schneider-electric-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/smc-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-ifm-electronic/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-masimo-products/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/telco-product-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/turck-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/volvo-penta-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,0,0,,Missing
https://longwang.ru/supplies-services-china/autsorsing-ved/akkreditiv-po-dogovoru-postavki/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/autsorsing-ved/finansirovanie-importa-iz-kitaia/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/autsorsing-ved/konsolidacziya-eksporta/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/autsorsing-ved/otkryt-kompaniyu-v-kitae/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/autsorsing-ved/platezhi-v-kitai/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/,https://longwang.ru/supplies-services-china/autsorsing-ved/,Parent to Child,2,0,"Footer, Navigation",OK
https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,Parent to Child,2,0,Navigation,OK
https://longwang.ru/supplies-services-china/dostavka-is-kitaya/cargo/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,Parent to Child,2,0,Navigation,OK
https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,Parent to Child,2,0,Navigation,OK
https://longwang.ru/supplies-services-china/dostavka-is-kitaya/jeleznodorojnaya-dostavka-iz-kitaya/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,Parent to Child,2,0,Navigation,OK
https://longwang.ru/supplies-services-china/dostavka-is-kitaya/sea-shipping-china/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,Parent to Child,2,0,Navigation,OK
https://longwang.ru/supplies-services-china/dostavka-is-kitaya/tamojennoe-oformlenie-china/,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,https://longwang.ru/supplies-services-china/equipment-from-china/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/chamber-furnaces-china/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/drying-cabinets-china/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/drying-cultivation-cabinets/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/muffle-furnaces-china/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/specialized-industrial-furnaces/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/tubular-compact-furnaces/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/tubular-furnaces-china/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/vacuum-drying-chambers/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/vacuum-soldering-furnaces/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/water-baths-thermostats/,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,Parent to Child,1,0,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,Parent to Child,1,0,Navigation,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/airtac-supple-china/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/atlas-copco-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baluff-sensors/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/baumer-sensors-order/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/bitzer-compressors-parts/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/brevini-motion-systems-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/caterpillar-spare-parts/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/cummins-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/curtis-instruments-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/danfoss-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/duplomatic-products-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/eaton-supply-china/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/endresshauser-supply-russia/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/festo-equipment-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/flender-siemens-equipment/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/fronius-equipment-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/honeywell-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/hydac-equipment-buy/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/kubler-equipment/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/lenze-supply-russia/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/mattei-rotors-compressors/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/megger-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/pilz-equipment/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/sany-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/schneider-electric-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/smc-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-ifm-electronic/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-masimo-products/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/telco-product-supply/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/turck-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/volvo-penta-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/wilo-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/xinyak-product-supplies/,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,Parent to Child,0,1,,OK
